Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,47761,47712,47642,47606,47657,47755,47847
St. Lucia,LCA,"Population, total",SP.POP.TOTL,177888,178583,179237,179651,179857,180251,180805
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,33852,33121,32553,31948,31791,..,..
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,105281,104924,104632,104332,103948,103698,103683
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1092403973,1121549049,1151302081,1181163013,1211190002,1241901564,1273375545
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1092307211,1121451424,1151203619,1181063755,1211070124,1241780942,1273254218
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1092403973,1121549049,1151302081,1181163013,1211190002,1241901564,1273375545
Sudan,SDN,"Population, total",SP.POP.TOTL,41999059,43232093,44440486,45657202,46874204,48109006,49358228
Suriname,SUR,"Population, total",SP.POP.TOTL,593715,600301,607065,612985,618040,623236,628785
Sweden,SWE,"Population, total",SP.POP.TOTL,10175214,10278887,10353442,10415811,10486941,10544776,10600615
Switzerland,CHE,"Population, total",SP.POP.TOTL,8514329,8575280,8638167,8704546,8775760,8827979,8878451
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,19333463,20098251,20772595,21324367,22125249,23227014,24348053
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9128132,9337003,9543207,9750064,9952787,10143543,10331513
Tanzania,TZA,"Population, total",SP.POP.TOTL,58090443,59872579,61704518,63588334,65497748,67438106,69419073
Thailand,THA,"Population, total",SP.POP.TOTL,71127802,71307763,71475664,71601103,71697030,71801279,71885799
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1261845,1280438,1299995,1320942,1341296,1360596,1379883
Togo,TGO,"Population, total",SP.POP.TOTL,8046679,8243094,8442580,8644829,8848699,9053799,9260864
Tonga,TON,"Population, total",SP.POP.TOTL,105150,104951,105254,106017,106858,107773,108683
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1504709,1519955,1518147,1525663,1531044,1534937,1538200
Tunisia,TUN,"Population, total",SP.POP.TOTL,11933041,12049314,12161723,12262946,12356117,12458223,12564689
Turkiye,TUR,"Population, total",SP.POP.TOTL,81407204,82579440,83384680,84147318,84979913,85424312,85858536
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6065066,6158420,6250438,6341855,6430770,6516100,6598071
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,41487,43080,44276,45114,45703,46062,46431
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10865,10956,11069,11204,11312,11396,11478
Uganda,UGA,"Population, total",SP.POP.TOTL,41515395,42949080,44404611,45853778,47249585,48582334,49924252
Ukraine,UKR,"Population, total",SP.POP.TOTL,44622518,44386203,44132049,43822901,38000000,39414596,40512184
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9140169,9211657,9287289,9365145,9441129,9516871,9591853
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66460344,66836327,67081234,67026292,66971395,67184072,67389856
United States,USA,"Population, total",SP.POP.TOTL,326838199,328329953,331511512,332031554,333287557,335020960,336721632
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2735017750,2752025737,2765716827,2776124854,2784368143,2791929182,2800077817
