Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
India,IND,"Population, total",SP.POP.TOTL,1369003306,1383112050,1396387127,1407563842,1417173173,1428627663,1441719852
Indonesia,IDN,"Population, total",SP.POP.TOTL,267066843,269582878,271857970,273753191,275501339,277534122,279798049
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,85617562,86564202,87290193,87923432,88550570,89172767,89809781
Iraq,IRQ,"Population, total",SP.POP.TOTL,40590700,41563520,42556984,43533592,44496122,45504560,46523657
Ireland,IRL,"Population, total",SP.POP.TOTL,4867316,4934340,4985382,5033164,5127170,5160824,5192718
Isle of Man,IMN,"Population, total",SP.POP.TOTL,83775,83933,84046,84263,84519,84710,84904
Israel,ISR,"Population, total",SP.POP.TOTL,8882800,9054000,9215100,9371400,9557500,9700276,9842946
Italy,ITA,"Population, total",SP.POP.TOTL,60421760,59729081,59438851,59133173,58940425,58745744,58550424
Jamaica,JAM,"Population, total",SP.POP.TOTL,2811835,2813773,2820436,2827695,2827377,2825544,2824738
Japan,JPN,"Population, total",SP.POP.TOTL,126811000,126633000,126261000,125681593,125124989,124389416,123673288
Jordan,JOR,"Population, total",SP.POP.TOTL,10459865,10698683,10928721,11148278,11285869,11337052,11384922
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18276452,18513673,18755666,19000988,19621972,19841426,20079412
Kenya,KEN,"Population, total",SP.POP.TOTL,49953304,50951450,51985780,53005614,54027487,55100586,56203030
Kiribati,KIR,"Population, total",SP.POP.TOTL,122261,124241,126463,128874,131232,133515,135763
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25638149,25755441,25867467,25971909,26069416,26160821,26244582
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51585058,51764822,51836239,51744876,51628117,51559476,51482304
Kosovo,XKX,"Population, total",SP.POP.TOTL,1797085,1788878,1790133,1786038,1761985,1766104,1770233
Kuwait,KWT,"Population, total",SP.POP.TOTL,4317185,4441100,4360444,4250114,4268873,4310108,4349380
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6322800,6456200,6579900,6773400,6974900,7085921,7197110
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7105006,7212053,7319399,7425057,7529475,7633779,7736681
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2298987594,2309491804,2317277554,2322606486,2325542891,2326847004,2328624907
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,639628226,645295804,650534986,654980630,659310564,663972136,668933577
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,576620516,582701622,588011178,592503434,596596955,600689332,604984953
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,623841282,629515571,634680385,639188695,643602758,648344991,653316273
Latvia,LVA,"Population, total",SP.POP.TOTL,1927174,1913822,1900449,1884490,1879383,1858606,1838631
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1023493788,1048193552,1073743450,1099568566,1125179454,1151134198,1177594930
Lebanon,LBN,"Population, total",SP.POP.TOTL,5950839,5781907,5662923,5592631,5489739,5353930,5219044
Lesotho,LSO,"Population, total",SP.POP.TOTL,2198017,2225702,2254100,2281454,2305825,2330318,2356083
Liberia,LBR,"Population, total",SP.POP.TOTL,4889391,4985289,5087584,5193416,5302681,5418377,5536949
Libya,LBY,"Population, total",SP.POP.TOTL,6477793,6569088,6653942,6735277,6812341,6888388,6964197
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38181,38482,38756,39039,39327,39584,39822
Lithuania,LTU,"Population, total",SP.POP.TOTL,2801543,2794137,2794885,2800839,2831639,2803946,2777843
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6399036689,6476092964,6549996251,6618837270,6678280291,6746924578,6818180071
Low income,LIC,"Population, total",SP.POP.TOTL,630865826,648755452,667053670,685250041,703727949,722984063,742684477
Lower middle income,LMC,"Population, total",SP.POP.TOTL,3033153113,3075311775,3117225754,3157462375,3190184199,3232011333,3275417777
Luxembourg,LUX,"Population, total",SP.POP.TOTL,607950,620001,630419,640064,653103,659904,666440
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,650991,663653,676283,686607,695168,704149,713082
Madagascar,MDG,"Population, total",SP.POP.TOTL,26846541,27533134,28225177,28915653,29611714,30325732,31056610
Malawi,MWI,"Population, total",SP.POP.TOTL,18367883,18867337,19377061,19889742,20405317,20931751,21475962
Malaysia,MYS,"Population, total",SP.POP.TOTL,32399271,32804020,33199993,33573874,33938221,34308525,34671895
Maldives,MDV,"Population, total",SP.POP.TOTL,489758,504508,514438,521457,523787,521021,517887
Mali,MLI,"Population, total",SP.POP.TOTL,19934298,20567424,21224040,21904983,22593590,23293698,24015789
Malta,MLT,"Population, total",SP.POP.TOTL,484630,504062,515332,518536,531113,532616,533982
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,45989,44728,43413,42050,41569,41996,42415
Mauritania,MRT,"Population, total",SP.POP.TOTL,4270712,4383849,4498604,4614974,4736139,4862989,4993922
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265577,1265985,1266014,1266334,1262523,1263939,1265199
Mexico,MEX,"Population, total",SP.POP.TOTL,124013861,125085311,125998302,126705138,127504125,128455567,129388467
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,110929,111379,112106,113131,114164,115224,116300
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,465073490,473201775,479966649,486174763,493279469,500703769,508180326
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,398375344,405259403,411810124,418047201,424328381,430850589,437438910
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,393806257,400574097,407006855,413124452,419284769,425691336,432160987
Middle income,MIC,"Population, total",SP.POP.TOTL,5768170863,5827337512,5882942581,5933587229,5974552342,6023940515,6075495594
Moldova,MDA,"Population, total",SP.POP.TOTL,2707203,2664224,2635130,2595809,2538894,2411126,2316377
Monaco,MCO,"Population, total",SP.POP.TOTL,37029,37034,36922,36686,36469,36297,36157
Mongolia,MNG,"Population, total",SP.POP.TOTL,3163991,3232430,3294335,3347782,3398366,3447157,3493629
